Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,CITES.Appendix,CMS.Appendix,Long.Term.Trend.Mean,Long.Term.Trend.Lower,Long.Term.Trend.Upper,Long.Term.Trend,Current.Annual.Change.Mean,Current.Annual.Change.Lower,Current.Annual.Change.Upper,Current.Annual.Change,Range.Size.Mean,Range.Size.Lower,Range.Size.Upper,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Fulvous Whistling Duck,Dendrocygna bicolor,R,Least Concern,Schedule-I,,Appendix II,,,,,-1.873457577,-13.29485864,9.547943483,-1.87±11.42,13.4074988,13.3363988,13.4785988,13.41±0.07,Data Deficient,Uncertain,Moderate,Low
Lesser Whistling Duck,Dendrocygna javanica,R,Least Concern,Schedule-IV,,Appendix II,4.607644743,-14.88912288,24.10441236,4.61±19.5,-3.907999145,-6.635738938,-1.180259352,-3.91±2.73,149.898761,149.800061,149.997461,149.9±0.1,Stable,Moderate Decline,Very Large,Low
Bar-headed Goose,Anser indicus,LM,Least Concern,Schedule-IV,,Appendix II,-13.39993978,-100,204.2581892,-13.4±217.66,-6.935406704,-45.88235677,32.01154337,-6.94±38.95,45.4472583,45.3772583,45.5172583,45.45±0.07,Uncertain,Uncertain,Large,Low
Greylag Goose,Anser anser,W/P,Least Concern,Schedule-IV,,Appendix II,-38.40276243,-73.34660503,-3.45891983,-38.4±34.94,-3.091665089,-11.94517057,5.761840394,-3.09±8.85,24.5691745,24.4646745,24.6736745,24.57±0.1,Uncertain,Uncertain,Moderate,Low
Comb Duck,Sarkidiornis melanotos,R,Least Concern,Schedule-IV,Appendix II,Appendix II,1.291713172,-29.86258317,32.44600951,1.29±31.15,-6.018773577,-10.45137056,-1.586176596,-6.02±4.43,81.233442,81.149842,81.317042,81.23±0.08,Uncertain,Moderate Decline,Large,Moderate
Ruddy Shelduck,Tadorna ferruginea,LM,Least Concern,Schedule-IV,,Appendix II,-0.908793756,-66.22477337,64.40718585,-0.91±65.32,-2.306987498,-13.66782648,9.053851482,-2.31±11.36,73.1742151,73.0984151,73.2500151,73.17±0.08,Uncertain,Uncertain,Large,Low
Cotton Teal,Nettapus coromandelianus,R,Least Concern,Schedule-IV,,Appendix II,-59.55395467,-69.00537805,-50.10253129,-59.55±9.45,-8.044061151,-11.2030039,-4.885118407,-8.04±3.16,100.1270602,100.0257602,100.2283602,100.13±0.1,Strong Decline,Strong Decline,Very Large,High
Garganey,Spatula querquedula,W/P,Least Concern,Schedule-IV,,Appendix II,-35.75719024,-54.38120552,-17.13317496,-35.76±18.62,1.527143661,-3.668175054,6.722462376,1.53±5.2,78.397137,78.309137,78.485137,78.4±0.09,Stable,Uncertain,Large,Low
Northern Shoveler,Spatula clypeata,W/P,Least Concern,Schedule-IV,,Appendix II,-27.91852757,-51.17662965,-4.66042549,-27.92±23.26,0.209888173,-5.608260663,6.028037009,0.21±5.82,92.082839,92.002139,92.163539,92.08±0.08,Stable,Uncertain,Large,Low
Gadwall,Mareca strepera,W/P,Least Concern,Schedule-IV,,Appendix II,-12.3750217,-50.91680672,26.16676332,-12.38±38.54,1.192060619,-6.92734449,9.311465728,1.19±8.12,68.3142581,68.2287581,68.3997581,68.31±0.09,Uncertain,Uncertain,Large,Low
Eurasian Wigeon,Mareca penelope,W/P,Least Concern,Schedule-IV,,Appendix II,-57.07132709,-100,64.47231781,-57.07±121.54,-4.11316285,-50.54634863,42.32002293,-4.11±46.43,59.6853328,59.6010328,59.7696328,59.69±0.08,Uncertain,Uncertain,Large,Low
Indian Spot-billed Duck,Anas poecilorhyncha,R,Least Concern,Schedule-IV,,Appendix II,24.77675579,0.43894228,49.1145693,24.78±24.34,-4.096019777,-6.791469182,-1.400570372,-4.1±2.7,137.1281162,137.0504162,137.2058162,137.13±0.08,Stable,Moderate Decline,Very Large,Low
Mallard,Anas platyrhynchos,W/P,Least Concern,Schedule-IV,,Appendix II,-44.57073109,-87.21104641,-1.93041577,-44.57±42.64,6.396903819,-11.40355063,24.19735827,6.4±17.8,20.9854776,20.8996776,21.0712776,20.99±0.09,Uncertain,Uncertain,Moderate,Low
Northern Pintail,Anas acuta,W/P,Least Concern,Schedule-IV,,Appendix II,-55.81633167,-100,-2.8227298,-55.82±52.99,-5.001384023,-23.76018363,13.75741559,-5±18.76,99.1353023,99.0409023,99.2297023,99.14±0.09,Uncertain,Uncertain,Large,Low
Common Teal,Anas crecca,W/P,Least Concern,Schedule-IV,,Appendix II,-40.39827925,-78.16587951,-2.63067899,-40.4±37.77,3.939791178,-8.333318462,16.21290082,3.94±12.27,83.0525058,82.9640058,83.1410058,83.05±0.09,Uncertain,Uncertain,Large,Low
Andaman Teal,Anas albogularis,R,Vulnerable,Schedule-I,,Appendix II,,,,,,,,,0.3523681,0.3208681,0.3838681,0.35±0.03,Data Deficient,Data Deficient,Restricted,High
White-winged Wood Duck,Asarcornis scutulata,R,Endangered,Schedule-I,Appendix I,Appendix II,,,,,,,,,1.6555414,1.5642414,1.7468414,1.66±0.09,Data Deficient,Data Deficient,Restricted,High
Red-crested Pochard,Netta rufina,W/P,Least Concern,Schedule-IV,,Appendix II,-22.17036303,-57.27205605,12.93132999,-22.17±35.1,0.690349914,-7.391652038,8.772351866,0.69±8.08,34.4392361,34.3641361,34.5143361,34.44±0.08,Uncertain,Uncertain,Large,Low
Common Pochard,Aythya ferina,W/P,Vulnerable,Schedule-IV,,Appendix II,-62.9743729,-82.30605353,-43.64269227,-62.97±19.33,-2.838886152,-11.36712299,5.689350681,-2.84±8.53,56.7869682,56.7054682,56.8684682,56.79±0.08,Moderate Decline,Uncertain,Large,Moderate
Ferruginous Duck,Aythya nyroca,W/P,Near Threatened,Schedule-IV,,Appendix I,-19.25607325,-61.13318109,22.62103459,-19.26±41.88,32.96887622,14.00653675,51.93121569,32.97±18.96,26.7874838,26.6950838,26.8798838,26.79±0.09,Uncertain,Strong Increase,Large,Low
Tufted Duck,Aythya fuligula,W/P,Least Concern,Schedule-IV,,Appendix II,-68.36390607,-100,-11.9064252,-68.36±56.46,-4.293357606,-32.49906088,23.91234566,-4.29±28.21,38.0511654,37.9652654,38.1370654,38.05±0.09,Uncertain,Uncertain,Large,Low
Common Merganser,Mergus merganser,LM,Least Concern,Schedule-IV,,Appendix II,,,,,-6.314109972,-31.74468528,19.11646534,-6.31±25.43,4.6653801,4.5597801,4.7709801,4.67±0.11,Data Deficient,Uncertain,Moderate,Low
Nicobar Megapode,Megapodius nicobariensis,R,Vulnerable,Schedule-I,,,,,,,,,,,0.0769,0.0769,0.0769,0.08,Data Deficient,Data Deficient,Restricted,High
Common Hill Partridge,Arborophila torqueola,R,Least Concern,Schedule-IV,,,,,,,-9.340759913,-17.76943856,-0.912081263,-9.34±8.43,10.1969039,10.1342039,10.2596039,10.2±0.06,Data Deficient,Uncertain,Moderate,Low
Chestnut-breasted Hill Partridge,Arborophila mandellii,R,Vulnerable,Schedule-IV,,,,,,,,,,,1.3832743,1.3143743,1.4521743,1.38±0.07,Data Deficient,Data Deficient,Restricted,High
Rufous-throated Hill Partridge,Arborophila rufogularis,R,Least Concern,Schedule-IV,,,,,,,,,,,6.3406383,6.2257383,6.4555383,6.34±0.11,Data Deficient,Data Deficient,Moderate,Moderate
White-cheeked Hill Partridge,Arborophila atrogularis,R,Near Threatened,Schedule-IV,,,,,,,,,,,3.4224822,3.3479822,3.4969822,3.42±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Indian Peafowl,Pavo cristatus,R,Least Concern,Schedule-I,,,101.8389785,64.38000203,139.297955,101.84±37.46,4.871712392,1.314390034,8.42903475,4.87±3.56,152.4265574,152.3522574,152.5008574,152.43±0.07,Strong Increase,Moderate Increase,Very Large,Low
Red Spurfowl,Galloperdix spadicea,R,Least Concern,Schedule-IV,,,-34.51953367,-55.15041646,-13.88865088,-34.52±20.63,-3.126040427,-8.009802869,1.757722015,-3.13±4.88,36.3436371,36.2764371,36.4108371,36.34±0.07,Stable,Uncertain,Large,Low
Painted Spurfowl,Galloperdix lunulata,R,Least Concern,Schedule-IV,,,-33.30049102,-69.03944096,2.43845892,-33.3±35.74,-8.903820048,-15.73508815,-2.072551949,-8.9±6.83,20.7805972,20.7086972,20.8524972,20.78±0.07,Uncertain,Moderate Decline,Moderate,Moderate
Rain Quail,Coturnix coromandelica,R,Least Concern,Schedule-IV,,,-66.56176947,-82.8836847,-50.23985424,-66.56±16.32,33.33069824,13.7208334,52.94056308,33.33±19.61,38.1848021,38.0871021,38.2825021,38.18±0.1,Strong Decline,Strong Increase,Large,Moderate
Chukar Partridge,Alectoris chukar,R,Least Concern,Schedule-IV,,,,,,,1.917010849,-16.58218086,20.41620256,1.92±18.5,12.6504688,12.5802688,12.7206688,12.65±0.07,Data Deficient,Uncertain,Moderate,Low
Himalayan Snowcock,Tetraogallus himalayensis,R,Least Concern,Schedule-IV,,,,,,,,,,,5.3742507,5.2800507,5.4684507,5.37±0.09,Data Deficient,Data Deficient,Moderate,Moderate
